fileIndex;nrOfMeasurements;minMeasurement;loMeasurement;medMeasurement;avgMeasurement;hiMeasurement;maxMeasurement;user.name;
0;1000;59356706;60040312;60804376;61263621;62967780;87675389;Michael;
0;1000;59096896;59917951;60484223;60827207;62186115;78456620;Michael;
0;1000;59249430;59844757;60424160;60786181;62086383;75657101;Michael;
1;1000;27021591;27252626;27505451;27587338;27947686;34264969;Michael;
2;1000;195962895;198130209;214538998;215907758;234950252;301652584;Michael;
3;1000;157722559;160439106;162058027;164440959;166148770;229234162;Michael;
4;1000;3851607;3899657;3973689;4008373;4162819;5357664;Michael;
5;1000;70003310;70565672;71027463;71258405;72222308;78832366;Michael;
6;1000;148043117;150167969;151288502;151541113;153338483;158457569;Michael;
7;1000;22257298;22473527;22743952;22833915;23211609;30403865;Michael;
8;1000;65618954;66200034;69432009;68809105;70978854;87825408;Michael;
9;1000;181568328;183113496;184654195;185258820;187839516;257923004;Michael;
10;1000;2691683;2714591;2738616;2804004;2981943;5043937;Michael;
11;1000;2176255;2196648;2211454;2250071;2323759;4638020;Michael;
12;1000;3302934;3325563;3346794;3401394;3573360;4864864;Michael;
13;1000;2678832;2702578;2722692;2791186;2972445;4615670;Michael;
14;1000;1468622;1483429;1498514;1541551;1696305;2765156;Michael;
